                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.1262,                0.67729,                 1.6898,                0.95777,                0.92948,                0.97071,                0.70535,                 1.0763,                0.48929,                 1.6465,               0.005578,               0.005578,               0.005578
                    136,                 1.1288,                  0.676,                 1.6908,                0.96504,                0.92521,                0.97181,                0.70236,                  1.088,                0.48859,                  1.654,               0.005545,               0.005545,               0.005545
                    137,                 1.1255,                0.67149,                 1.6824,                0.96031,                0.92694,                0.97109,                0.70713,                 1.0634,                0.48634,                 1.6403,               0.005512,               0.005512,               0.005512
                    138,                 1.1306,                0.68499,                  1.688,                0.96228,                0.92108,                0.97239,                0.70098,                 1.0873,                 0.4916,                 1.6553,               0.005479,               0.005479,               0.005479
                    139,                 1.1202,                0.67264,                  1.676,                0.96171,                0.91688,                0.96922,                0.71327,                 1.0669,                0.49208,                 1.6301,               0.005446,               0.005446,               0.005446
                    140,                 1.1231,                0.67435,                 1.6825,                0.96659,                0.92063,                0.97085,                0.71145,                 1.0559,                0.47856,                 1.6306,               0.005413,               0.005413,               0.005413
                    141,                  1.114,                0.66839,                 1.6747,                0.95574,                0.93802,                 0.9708,                0.70176,                 1.0893,                0.47677,                 1.6488,                0.00538,                0.00538,                0.00538
                    142,                 1.1184,                0.67011,                 1.6771,                0.95902,                0.93015,                0.97423,                0.70898,                  1.068,                0.48304,                 1.6252,               0.005347,               0.005347,               0.005347
                    143,                  1.116,                0.66795,                 1.6679,                0.95843,                0.93459,                 0.9731,                0.70095,                 1.0793,                0.48163,                 1.6481,               0.005314,               0.005314,               0.005314
                    144,                 1.1128,                0.66928,                 1.6713,                0.95883,                0.92674,                0.97285,                 0.7099,                 1.0727,                0.48014,                 1.6363,               0.005281,               0.005281,               0.005281
